down,ydstogo,yardline_100,game_seconds_remaining,score_differential,qtr,go_for_it
4.0,8,56.0,3507.0,0.0,1,0
4.0,8,96.0,3394.0,0.0,1,0
4.0,21,41.0,3205.0,0.0,1,0
4.0,7,19.0,3108.0,0.0,1,0
4.0,16,79.0,3002.0,0.0,1,0
4.0,22,44.0,2593.0,0.0,2,0
4.0,5,62.0,2245.0,0.0,2,0
4.0,6,13.0,1942.0,0.0,2,0
4.0,1,45.0,1512.0,0.0,3,0
4.0,11,96.0,1389.0,0.0,3,0
4.0,10,43.0,1218.0,0.0,3,0
4.0,11,71.0,1016.0,0.0,3,0
4.0,2,77.0,900.0,0.0,4,0
4.0,3,27.0,668.0,0.0,4,0
4.0,6,14.0,180.0,-3.0,4,0
4.0,10,70.0,117.0,0.0,4,0
4.0,8,20.0,3393.0,0.0,1,0
4.0,10,70.0,3273.0,-3.0,1,0
4.0,14,82.0,3125.0,3.0,1,0
4.0,3,3.0,2706.0,-3.0,1,0
4.0,14,90.0,2591.0,0.0,2,0
4.0,2,2.0,2160.0,-7.0,2,0
4.0,1,71.0,2053.0,4.0,2,0
4.0,5,53.0,1950.0,-4.0,2,0
4.0,6,81.0,1906.0,4.0,2,0
4.0,2,66.0,1871.0,-2.0,2,0
4.0,13,51.0,803.0,-12.0,4,0
4.0,6,72.0,715.0,12.0,4,0
4.0,18,20.0,419.0,12.0,4,0
4.0,7,71.0,381.0,-15.0,4,0
4.0,10,64.0,292.0,-22.0,4,1
4.0,9,35.0,192.0,22.0,4,0
4.0,5,75.0,3351.0,-7.0,1,0
4.0,5,29.0,3018.0,-14.0,1,0
4.0,3,74.0,2929.0,11.0,1,0
4.0,9,67.0,2881.0,-11.0,1,0
4.0,3,81.0,2785.0,11.0,1,0
4.0,1,4.0,2651.0,-11.0,2,1
4.0,4,70.0,2343.0,-4.0,2,0
4.0,17,76.0,1948.0,-11.0,2,0
4.0,5,58.0,1850.0,-18.0,2,0
4.0,2,20.0,1275.0,11.0,3,0
4.0,6,6.0,1106.0,-14.0,3,0
4.0,1,64.0,378.0,-19.0,4,1
4.0,17,33.0,3282.0,0.0,1,0
4.0,10,20.0,2979.0,-3.0,1,0
4.0,4,4.0,2787.0,3.0,1,0
4.0,7,57.0,2332.0,-1.0,2,0
4.0,6,46.0,2203.0,1.0,2,0
4.0,19,64.0,1935.0,-1.0,2,0
4.0,6,82.0,1868.0,1.0,2,0
4.0,5,59.0,1668.0,-6.0,3,0
4.0,2,72.0,1469.0,-13.0,3,0
4.0,5,81.0,1366.0,13.0,3,0
4.0,6,54.0,1271.0,-13.0,3,0
4.0,10,62.0,1128.0,13.0,3,0
4.0,7,26.0,464.0,-13.0,4,1
4.0,2,2.0,91.0,-20.0,4,1
4.0,12,62.0,3418.0,0.0,1,0
4.0,5,76.0,3320.0,0.0,1,0
4.0,7,64.0,3224.0,0.0,1,0
4.0,6,53.0,2609.0,-3.0,2,0
4.0,3,73.0,2554.0,3.0,2,0
4.0,2,82.0,1871.0,-10.0,2,0
4.0,2,43.0,1802.0,10.0,2,1
4.0,11,76.0,1295.0,-17.0,3,0
4.0,7,60.0,1227.0,17.0,3,0
4.0,2,51.0,1117.0,-17.0,3,1
4.0,4,43.0,962.0,17.0,3,0
4.0,23,80.0,879.0,-17.0,4,0
4.0,1,29.0,120.0,18.0,4,1
4.0,5,43.0,2968.0,0.0,1,0
4.0,6,6.0,2342.0,0.0,2,0
4.0,6,28.0,1864.0,-4.0,2,0
4.0,1,54.0,1808.0,1.0,2,1
4.0,6,45.0,1660.0,-1.0,3,0
4.0,5,75.0,1239.0,-8.0,3,0
4.0,1,54.0,1145.0,8.0,3,0
4.0,12,93.0,1088.0,-8.0,3,0
4.0,10,34.0,1002.0,8.0,3,0
4.0,2,7.0,672.0,-8.0,4,1
4.0,2,44.0,428.0,2.0,4,0
4.0,1,90.0,325.0,-2.0,4,0
4.0,1,35.0,126.0,2.0,4,1
4.0,8,63.0,83.0,-2.0,4,1
4.0,9,57.0,3471.0,0.0,1,0
4.0,10,47.0,3228.0,0.0,1,0
4.0,5,79.0,3143.0,0.0,1,0
4.0,2,42.0,3016.0,0.0,1,1
4.0,2,10.0,2811.0,0.0,1,1
4.0,11,57.0,2717.0,0.0,1,0
4.0,14,38.0,2622.0,0.0,2,0
4.0,6,80.0,2530.0,0.0,2,0
4.0,2,72.0,2119.0,0.0,2,0
4.0,4,49.0,1915.0,0.0,2,0
4.0,7,63.0,1668.0,-3.0,3,0
4.0,7,83.0,1515.0,3.0,3,0
4.0,20,55.0,1413.0,-3.0,3,0
4.0,7,61.0,1163.0,3.0,3,0
4.0,1,74.0,1061.0,-3.0,3,0
4.0,5,32.0,919.0,3.0,3,0
4.0,2,77.0,812.0,-6.0,4,0
4.0,23,42.0,389.0,6.0,4,0
4.0,1,2.0,3195.0,0.0,1,1
4.0,2,47.0,2923.0,-7.0,1,0
4.0,9,31.0,2753.0,-7.0,1,0
4.0,15,72.0,2474.0,-2.0,2,0
4.0,11,66.0,2276.0,-15.0,2,0
4.0,4,4.0,1905.0,-22.0,2,0
4.0,7,52.0,1830.0,19.0,2,0
