down,ydstogo,yardline_100,game_seconds_remaining,score_differential,qtr,posteam,play_type,wp,epa,go_for_it
4.0,8,56.0,3507.0,0.0,1,PIT,punt,0.4612171140114365,2.097795973997438,0
4.0,8,96.0,3394.0,0.0,1,TEN,punt,0.382456314022695,-0.0213126223616981,0
4.0,21,41.0,3205.0,0.0,1,PIT,punt,0.5140753205744593,-0.3119249392698635,0
4.0,7,19.0,3108.0,0.0,1,TEN,field_goal,0.5695093629593616,-3.632243393661056,0
4.0,16,79.0,3002.0,0.0,1,PIT,punt,0.4139938689073641,1.526353748804502,0
4.0,22,44.0,2593.0,0.0,2,TEN,punt,0.4870762432537731,0.2012583032839647,0
4.0,5,62.0,2245.0,0.0,2,PIT,punt,0.4761737405336906,-0.4957515212907646,0
4.0,6,13.0,1942.0,0.0,2,TEN,field_goal,0.5800164590439788,-3.2365317451919333,0
4.0,1,45.0,1512.0,0.0,3,PIT,punt,0.5155473492571399,0.0965928828286604,0
4.0,11,96.0,1389.0,0.0,3,TEN,punt,0.3681579016478833,0.6914859410394092,0
4.0,10,43.0,1218.0,0.0,3,PIT,punt,0.5010954897802363,-0.1928532767814725,0
4.0,11,71.0,1016.0,0.0,3,TEN,punt,0.4107787743784816,1.7922478565569149,0
4.0,2,77.0,900.0,0.0,4,PIT,punt,0.4170942184739427,-0.4680488115954417,0
4.0,3,27.0,668.0,0.0,4,TEN,field_goal,0.5465902476484019,1.130448572836063,0
4.0,6,14.0,180.0,-3.0,4,PIT,field_goal,0.4831697550417138,0.2110076985451439,0
4.0,10,70.0,117.0,0.0,4,TEN,punt,0.5271897478094645,-1.6520269468731783,0
4.0,8,20.0,3393.0,0.0,1,CLE,field_goal,0.5588488221336165,0.5835480516071319,0
4.0,10,70.0,3273.0,-3.0,1,MIN,punt,0.3338432369971013,1.309800786661776,0
4.0,14,82.0,3125.0,3.0,1,CLE,punt,0.5002476243758627,-0.2939559873735096,0
4.0,3,3.0,2706.0,-3.0,1,MIN,field_goal,0.4708618248815848,0.0332746726774653,0
4.0,14,90.0,2591.0,0.0,2,CLE,punt,0.3816421973499396,-1.434976461998036,0
4.0,2,2.0,2160.0,-7.0,2,CLE,field_goal,0.379778299869795,0.0262998168948227,0
4.0,1,71.0,2053.0,4.0,2,MIN,punt,0.5927543709473523,-1.4013573633271763,0
4.0,5,53.0,1950.0,-4.0,2,CLE,punt,0.3769193653403315,-0.2213104732007178,0
4.0,6,81.0,1906.0,4.0,2,MIN,punt,0.6237993852731312,-6.8064021983295335,0
4.0,2,66.0,1871.0,-2.0,2,MIN,punt,0.446078704317568,-1.616889489732516,0
4.0,13,51.0,803.0,-12.0,4,CLE,punt,0.104941167426131,0.1982878993454853,0
4.0,6,72.0,715.0,12.0,4,MIN,punt,0.850702937243139,0.3433455281741002,0
4.0,18,20.0,419.0,12.0,4,MIN,field_goal,0.9433202430181746,0.5780954867157231,0
