down,yards_to_go,yard_line,time_remaining,score_diff,win_probability,score_time_interaction
1.0,10,75.0,3600.0,0.0,0.546261787414551,0.0
2.0,7,72.0,3570.0,0.0,0.539620935916901,0.0
3.0,1,66.0,3535.0,0.0,0.555987477302551,0.0
1.0,10,64.0,3496.0,0.0,0.572573363780975,0.0
2.0,10,64.0,3492.0,0.0,0.554536581039429,0.0
1.0,10,52.0,3454.0,0.0,0.584446668624878,0.0
2.0,9,51.0,3416.0,0.0,0.566531538963318,0.0
3.0,9,51.0,3411.0,0.0,0.53084397315979,0.0
1.0,10,83.0,3359.0,0.0,0.482290267944336,0.0
2.0,11,84.0,3328.0,0.0,0.465196311473846,0.0
3.0,5,78.0,3291.0,0.0,0.459911227226257,0.0
1.0,10,72.0,3252.0,0.0,0.495820105075836,0.0
2.0,10,72.0,3248.0,0.0,0.480152130126953,0.0
3.0,13,75.0,3208.0,0.0,0.445713937282562,0.0
1.0,10,76.0,3131.0,0.0,0.546261787414551,0.0
2.0,4,70.0,3100.0,0.0,0.546093106269836,0.0
3.0,1,67.0,3070.0,0.0,0.554581105709076,0.0
1.0,10,49.0,3047.0,0.0,0.587220311164856,0.0
1.0,10,13.0,3002.0,0.0,0.670701265335083,0.0
2.0,4,7.0,2962.0,0.0,0.67795342206955,0.0
1.0,10,75.0,2955.0,-7.0,0.302174389362335,-20685.0
2.0,6,71.0,2925.0,-7.0,0.290494561195374,-20475.0
1.0,10,42.0,2881.0,-7.0,0.336999624967575,-20167.0
2.0,11,43.0,2836.0,-7.0,0.314306139945984,-19852.0
1.0,10,12.0,2803.0,-7.0,0.382817000150681,-19621.0
2.0,10,12.0,2798.0,-7.0,0.369587421417236,-19586.0
3.0,9,11.0,2760.0,-7.0,0.341020107269287,-19320.0
1.0,10,75.0,2753.0,4.0,0.654758036136627,11012.0
1.0,10,71.0,2694.0,4.0,0.658423662185669,10776.0
1.0,10,37.0,2686.0,-4.0,0.466074675321579,-10744.0
2.0,6,33.0,2648.0,-4.0,0.456185847520828,-10592.0
3.0,9,36.0,2614.0,-4.0,0.418897360563278,-10456.0
1.0,10,75.0,2606.0,1.0,0.601195275783539,2606.0
2.0,4,69.0,2569.0,1.0,0.601068556308746,2569.0
1.0,10,64.0,2535.0,1.0,0.62649941444397,2535.0
2.0,5,59.0,2491.0,1.0,0.616930186748505,2491.0
3.0,2,56.0,2447.0,1.0,0.616813719272614,2447.0
1.0,10,37.0,2410.0,1.0,0.660543739795685,2410.0
2.0,9,36.0,2376.0,1.0,0.646453082561493,2376.0
1.0,10,19.0,2335.0,1.0,0.686842620372772,2335.0
1.0,10,84.0,2331.0,-1.0,0.457120180130005,-2331.0
2.0,13,87.0,2263.0,-1.0,0.43705889582634,-2263.0
3.0,7,81.0,2222.0,-1.0,0.431448936462402,-2222.0
1.0,10,49.0,2177.0,1.0,0.650322258472443,2177.0
1.0,10,37.0,2149.0,1.0,0.660543739795685,2149.0
2.0,10,37.0,2111.0,1.0,0.646453082561493,2111.0
3.0,10,37.0,2106.0,1.0,0.615544080734253,2106.0
1.0,10,88.0,2067.0,-1.0,0.453718930482864,-2067.0
2.0,6,84.0,2027.0,-1.0,0.459276705980301,-2027.0
1.0,10,74.0,1993.0,-1.0,0.481077343225479,-1993.0
1.0,10,61.0,1956.0,-1.0,0.507830023765564,-1956.0
2.0,13,64.0,1920.0,-1.0,0.482926279306412,-1920.0
3.0,20,71.0,1906.0,-1.0,0.429318517446518,-1906.0
1.0,10,88.0,1889.0,1.0,0.573451638221741,1889.0
1.0,10,74.0,1869.0,1.0,0.593379497528076,1869.0
2.0,10,74.0,1865.0,1.0,0.575569808483124,1865.0
3.0,10,74.0,1862.0,1.0,0.549097776412964,1862.0
1.0,10,81.0,1849.0,-6.0,0.299255013465881,-11094.0
1.0,10,63.0,1830.0,-6.0,0.326347798109055,-10980.0
2.0,10,63.0,1825.0,-6.0,0.290586799383163,-10950.0
1.0,10,44.0,1819.0,-6.0,0.294084399938583,-10914.0
2.0,10,44.0,1814.0,-6.0,0.278132885694504,-10884.0
1.0,10,12.0,1808.0,-6.0,0.364688038825989,-10848.0
1.0,10,75.0,1800.0,3.0,0.589616775512695,5400.0
1.0,10,64.0,1769.0,3.0,0.610701501369476,5307.0
2.0,4,58.0,1746.0,3.0,0.611360549926758,5238.0
1.0,10,43.0,1709.0,3.0,0.658902108669281,5127.0
2.0,5,38.0,1672.0,3.0,0.665095090866089,5016.0
3.0,5,38.0,1669.0,3.0,0.642684996128082,5007.0
1.0,10,29.0,1639.0,3.0,0.674142122268677,4917.0
1.0,10,18.0,1601.0,3.0,0.712819635868073,4803.0
2.0,9,17.0,1558.0,3.0,0.699913084506989,4674.0
3.0,11,19.0,1516.0,3.0,0.667484819889069,4548.0
1.0,10,75.0,1509.0,-6.0,0.313690632581711,-9054.0
2.0,4,69.0,1479.0,-6.0,0.317063570022583,-8874.0
1.0,10,64.0,1444.0,-6.0,0.334672331809998,-8664.0
2.0,5,59.0,1409.0,-6.0,0.32367941737175,-8454.0
1.0,10,53.0,1377.0,-6.0,0.349106639623642,-8262.0
2.0,9,52.0,1341.0,-6.0,0.324523448944092,-8046.0
3.0,25,68.0,1272.0,-6.0,0.255433768033981,-7632.0
1.0,10,75.0,1222.0,6.0,0.759227931499481,7332.0
1.0,10,63.0,1184.0,6.0,0.798312842845917,7104.0
2.0,10,63.0,1126.0,6.0,0.782520115375519,6756.0
3.0,8,61.0,1088.0,6.0,0.758884429931641,6528.0
1.0,20,85.0,1047.0,-6.0,0.253863871097565,-6282.0
2.0,20,85.0,1042.0,-6.0,0.233974888920784,-6252.0
3.0,20,85.0,1039.0,-6.0,0.21272124350071,-6234.0
1.0,10,60.0,988.0,6.0,0.818295896053314,5928.0
2.0,11,61.0,953.0,6.0,0.787061870098114,5718.0
3.0,15,65.0,909.0,6.0,0.759577214717865,5454.0
1.0,10,29.0,902.0,-6.0,0.369798332452774,-5412.0
2.0,6,25.0,900.0,-6.0,0.388095140457153,-5400.0
1.0,10,18.0,869.0,-6.0,0.409995377063751,-5214.0
2.0,3,11.0,818.0,-6.0,0.436340063810349,-4908.0
1.0,8,8.0,760.0,-6.0,0.44670096039772,-4560.0
2.0,8,8.0,756.0,-6.0,0.422398209571838,-4536.0
3.0,6,6.0,714.0,-6.0,0.401580154895782,-4284.0
1.0,10,75.0,708.0,-1.0,0.45923376083374,-708.0
2.0,11,76.0,674.0,-1.0,0.417273104190826,-674.0
3.0,13,78.0,634.0,-1.0,0.377499759197235,-634.0
1.0,10,76.0,587.0,1.0,0.661511242389679,587.0
2.0,8,74.0,549.0,1.0,0.638664305210114,549.0
3.0,11,77.0,504.0,1.0,0.590334713459015,504.0
1.0,10,79.0,457.0,-1.0,0.459702998399735,-457.0
2.0,10,79.0,450.0,-1.0,0.438771545886993,-450.0
3.0,2,71.0,414.0,-1.0,0.435893654823303,-414.0
1.0,10,66.0,374.0,-1.0,0.468053907155991,-374.0
2.0,13,69.0,339.0,-1.0,0.408350318670273,-339.0
3.0,7,63.0,298.0,-1.0,0.407604247331619,-298.0
1.0,15,60.0,285.0,-1.0,0.455356776714325,-285.0
1.0,10,22.0,278.0,1.0,0.820258975028992,278.0
2.0,9,21.0,234.0,1.0,0.81517493724823,234.0
3.0,6,18.0,189.0,1.0,0.820731043815613,189.0
1.0,10,75.0,143.0,-4.0,0.248807832598686,-572.0
2.0,1,66.0,122.0,-4.0,0.270900309085846,-488.0
1.0,10,63.0,117.0,-4.0,0.275034785270691,-468.0
2.0,8,61.0,89.0,-4.0,0.250361859798431,-356.0
3.0,16,69.0,82.0,-4.0,0.19397559762001,-328.0
4.0,10,63.0,75.0,-4.0,0.153687730431557,-300.0
1.0,10,36.0,70.0,4.0,0.971817910671234,280.0
2.0,8,34.0,66.0,4.0,0.972289800643921,264.0
3.0,6,32.0,60.0,4.0,0.973956763744354,240.0
3.0,13,39.0,52.0,4.0,0.975043892860413,208.0
1.0,10,75.0,3600.0,0.0,0.433207958936691,0.0
2.0,3,68.0,3574.0,0.0,0.434231877326965,0.0
1.0,10,63.0,3541.0,0.0,0.454899400472641,0.0
2.0,7,60.0,3504.0,0.0,0.441448152065277,0.0
3.0,5,58.0,3459.0,0.0,0.418460994958878,0.0
1.0,10,88.0,3450.0,0.0,0.598094701766968,0.0
1.0,10,62.0,3413.0,0.0,0.640445172786713,0.0
1.0,10,57.0,3400.0,0.0,0.647396624088287,0.0
2.0,20,67.0,3356.0,0.0,0.618269503116608,0.0
3.0,13,60.0,3317.0,0.0,0.593380033969879,0.0
1.0,15,82.0,3264.0,0.0,0.408395498991013,0.0
2.0,10,77.0,3224.0,0.0,0.413484990596771,0.0
3.0,9,76.0,3182.0,0.0,0.389927685260773,0.0
1.0,10,62.0,3145.0,0.0,0.456849783658981,0.0
2.0,7,59.0,3112.0,0.0,0.443387806415558,0.0
1.0,10,51.0,3078.0,0.0,0.48871186375618,0.0
2.0,4,45.0,3044.0,0.0,0.476389437913895,0.0
1.0,10,30.0,3010.0,0.0,0.540155172348023,0.0
2.0,19,39.0,2970.0,0.0,0.493786603212357,0.0
3.0,15,35.0,2936.0,0.0,0.479370713233948,0.0
1.0,10,78.0,2881.0,-3.0,0.509222805500031,-8643.0
2.0,15,83.0,2878.0,-3.0,0.484137743711472,-8634.0
3.0,11,79.0,2835.0,-3.0,0.456869274377823,-8505.0
1.0,10,57.0,2794.0,-3.0,0.542777240276337,-8382.0
2.0,5,52.0,2759.0,-3.0,0.537012815475464,-8277.0
3.0,9,56.0,2716.0,-3.0,0.493642538785934,-8148.0
1.0,10,71.0,2694.0,3.0,0.554308295249939,8082.0
2.0,12,73.0,2634.0,3.0,0.522396147251129,7902.0
3.0,8,69.0,2592.0,3.0,0.528605937957764,7776.0
1.0,10,96.0,2582.0,-3.0,0.47130823135376,-7746.0
1.0,10,13.0,2527.0,-3.0,0.625994503498077,-7581.0
2.0,9,12.0,2491.0,-3.0,0.615457475185394,-7473.0
3.0,5,8.0,2447.0,-3.0,0.600395679473877,-7341.0
1.0,10,75.0,2435.0,0.0,0.4388727247715,0.0
2.0,15,80.0,2398.0,0.0,0.397884249687195,0.0
1.0,10,62.0,2361.0,0.0,0.460617274045944,0.0
2.0,10,62.0,2356.0,0.0,0.44245645403862,0.0
3.0,2,54.0,2320.0,0.0,0.439793407917023,0.0
1.0,10,48.0,2279.0,0.0,0.495874851942062,0.0
1.0,10,36.0,2252.0,0.0,0.54608553647995,0.0
2.0,11,37.0,2213.0,0.0,0.518985509872437,0.0
1.0,10,11.0,2173.0,0.0,0.591066122055054,0.0
2.0,7,8.0,2134.0,0.0,0.588620603084564,0.0
3.0,4,5.0,2091.0,0.0,0.588498890399933,0.0
1.0,10,74.0,2078.0,-7.0,0.354972928762436,-14546.0
2.0,8,72.0,2036.0,-7.0,0.345901280641556,-14252.0
1.0,10,62.0,1997.0,-7.0,0.382578670978546,-13979.0
1.0,10,50.0,1988.0,7.0,0.751198410987854,13916.0
2.0,4,44.0,1956.0,7.0,0.757793724536896,13692.0
1.0,10,31.0,1920.0,7.0,0.78805410861969,13440.0
2.0,4,25.0,1884.0,7.0,0.79423451423645,13188.0
3.0,1,22.0,1845.0,7.0,0.802682518959045,12915.0
1.0,10,20.0,1840.0,7.0,0.805436611175537,12880.0
2.0,13,23.0,1834.0,7.0,0.785443723201752,12838.0
3.0,13,23.0,1829.0,7.0,0.7771315574646,12803.0
1.0,10,75.0,1800.0,-10.0,0.226526111364365,-18000.0
2.0,10,75.0,1761.0,-10.0,0.207818746566772,-17610.0
3.0,10,75.0,1757.0,-10.0,0.190400317311287,-17570.0
1.0,10,63.0,1717.0,-10.0,0.242573022842407,-17170.0
2.0,3,56.0,1690.0,-10.0,0.264027386903763,-16900.0
1.0,10,36.0,1651.0,-10.0,0.282470613718033,-16510.0
2.0,1,27.0,1607.0,-10.0,0.339625298976898,-16070.0
3.0,2,28.0,1563.0,-10.0,0.306051641702652,-15630.0
1.0,10,22.0,1533.0,-10.0,0.330351203680038,-15330.0
2.0,9,21.0,1494.0,-10.0,0.296182066202164,-14940.0
3.0,13,25.0,1453.0,-10.0,0.254404067993164,-14530.0
1.0,10,75.0,1439.0,7.0,0.737919211387634,10073.0
2.0,11,76.0,1399.0,7.0,0.741575300693512,9793.0
1.0,10,61.0,1355.0,7.0,0.797982692718506,9485.0
2.0,1,52.0,1316.0,7.0,0.823983132839203,9212.0
1.0,10,49.0,1283.0,7.0,0.819530606269836,8981.0
2.0,7,46.0,1240.0,7.0,0.808729946613312,8680.0
1.0,10,38.0,1200.0,7.0,0.828120827674866,8400.0
2.0,13,41.0,1156.0,7.0,0.793918132781982,8092.0
1.0,10,80.0,1148.0,-7.0,0.251054167747498,-8036.0
1.0,10,65.0,1109.0,-7.0,0.273687064647675,-7763.0
2.0,12,67.0,1072.0,-7.0,0.244582712650299,-7504.0
3.0,12,67.0,1069.0,-7.0,0.226833090186119,-7483.0
1.0,10,85.0,1030.0,7.0,0.769268989562988,7210.0
2.0,6,81.0,990.0,7.0,0.78119021654129,6930.0
3.0,6,81.0,982.0,7.0,0.768258690834045,6874.0
1.0,10,75.0,933.0,-7.0,0.230574086308479,-6531.0
2.0,10,75.0,925.0,-7.0,0.207134023308754,-6475.0
3.0,3,68.0,900.0,-7.0,0.238360345363617,-6300.0
1.0,10,85.0,851.0,7.0,0.793180286884308,5957.0
2.0,4,79.0,819.0,7.0,0.813078939914703,5733.0
1.0,10,75.0,790.0,7.0,0.825467348098755,5530.0
2.0,12,77.0,748.0,7.0,0.811762154102325,5236.0
3.0,9,74.0,704.0,7.0,0.81177830696106,4928.0
1.0,10,65.0,668.0,7.0,0.872251093387604,4676.0
2.0,4,59.0,630.0,7.0,0.883352160453796,4410.0
3.0,2,57.0,589.0,7.0,0.893261969089508,4123.0
1.0,10,57.0,583.0,-7.0,0.233727887272835,-4081.0
2.0,5,52.0,545.0,-7.0,0.209188103675842,-3815.0
3.0,5,52.0,499.0,-7.0,0.192819058895111,-3493.0
1.0,10,28.0,452.0,-7.0,0.285381734371185,-3164.0
2.0,6,24.0,415.0,-7.0,0.331418395042419,-2905.0
3.0,5,23.0,376.0,-7.0,0.32207190990448,-2632.0
1.0,9,9.0,343.0,-7.0,0.406872510910034,-2401.0
2.0,3,3.0,298.0,-7.0,0.416397899389267,-2086.0
1.0,10,75.0,295.0,0.0,0.473789185285568,0.0
1.0,10,27.0,291.0,0.0,0.688380479812622,0.0
2.0,4,21.0,248.0,0.0,0.702766001224518,0.0
3.0,1,18.0,200.0,0.0,0.70958936214447,0.0
4.0,1,18.0,170.0,0.0,0.640263795852661,0.0
1.0,10,16.0,126.0,0.0,0.785040438175201,0.0
2.0,13,19.0,120.0,0.0,0.764834761619568,0.0
3.0,12,18.0,116.0,0.0,0.721140623092651,0.0
1.0,10,75.0,108.0,-3.0,0.267491042613983,-324.0
2.0,3,68.0,82.0,-3.0,0.276863068342209,-246.0
1.0,10,62.0,60.0,-3.0,0.297583818435669,-180.0
1.0,20,57.0,35.0,-3.0,0.265564769506454,-105.0
2.0,5,42.0,29.0,-3.0,0.356092125177383,-87.0
2.0,10,32.0,16.0,-3.0,0.297736316919327,-48.0
3.0,10,32.0,10.0,-3.0,0.305480152368546,-30.0
1.0,15,80.0,600.0,0.0,0.438983399188146,0.0
2.0,15,80.0,597.0,0.0,0.391567353042774,0.0
3.0,12,77.0,566.0,0.0,0.331803243723698,0.0
1.0,10,75.0,3600.0,0.0,0.546261787414551,0.0
2.0,16,81.0,3562.0,0.0,0.520599246025085,0.0
3.0,8,73.0,3524.0,0.0,0.4983189702034,0.0
1.0,10,60.0,3482.0,0.0,0.52243435382843,0.0
2.0,6,56.0,3438.0,0.0,0.519607484340668,0.0
1.0,10,44.0,3399.0,0.0,0.547635436058044,0.0
2.0,1,35.0,3354.0,0.0,0.598345041275024,0.0
1.0,10,33.0,3316.0,0.0,0.596881747245789,0.0
2.0,13,36.0,3277.0,0.0,0.579460501670837,0.0
3.0,11,34.0,3238.0,0.0,0.549516141414642,0.0
1.0,10,20.0,3196.0,0.0,0.616782903671265,0.0
2.0,5,15.0,3155.0,0.0,0.613970041275024,0.0
3.0,1,11.0,3116.0,0.0,0.610250651836395,0.0
4.0,1,11.0,3074.0,0.0,0.583695888519287,0.0
1.0,10,88.0,3068.0,0.0,0.531349420547485,0.0
1.0,10,69.0,3028.0,0.0,0.555312752723694,0.0
1.0,10,47.0,2996.0,0.0,0.587220311164856,0.0
2.0,6,43.0,2953.0,0.0,0.572214484214783,0.0
3.0,9,46.0,2909.0,0.0,0.533689975738525,0.0
1.0,21,97.0,2810.0,0.0,0.450764387845993,0.0
2.0,16,92.0,2770.0,0.0,0.433416545391083,0.0
1.0,10,17.0,2761.0,0.0,0.655391871929169,0.0
2.0,9,16.0,2728.0,0.0,0.638582646846771,0.0
3.0,4,11.0,2700.0,0.0,0.644942581653595,0.0
1.0,10,75.0,2694.0,-7.0,0.296278595924377,-18858.0
2.0,10,75.0,2692.0,-7.0,0.278696894645691,-18844.0
3.0,10,75.0,2686.0,-7.0,0.259133160114288,-18802.0
1.0,10,85.0,2641.0,7.0,0.728357255458832,18487.0
2.0,10,85.0,2637.0,7.0,0.71780276298523,18459.0
3.0,10,85.0,2579.0,7.0,0.703897953033447,18053.0
1.0,10,75.0,2547.0,-7.0,0.271315544843674,-17829.0
2.0,7,72.0,2507.0,-7.0,0.264403104782105,-17549.0
3.0,2,67.0,2464.0,-7.0,0.262394726276398,-17248.0
1.0,10,56.0,2427.0,-7.0,0.300973057746887,-16989.0
2.0,8,54.0,2386.0,-7.0,0.286968290805817,-16702.0
1.0,10,43.0,2344.0,-7.0,0.304074287414551,-16408.0
2.0,11,44.0,2308.0,-7.0,0.311336040496826,-16156.0
3.0,8,41.0,2268.0,-7.0,0.288756340742111,-15876.0
1.0,10,32.0,2226.0,-7.0,0.345303148031235,-15582.0
1.0,10,20.0,2183.0,-7.0,0.373265504837036,-15281.0
1.0,6,6.0,2138.0,-7.0,0.394325882196426,-14966.0
2.0,4,4.0,2113.0,-7.0,0.381366580724716,-14791.0
1.0,10,75.0,2109.0,0.0,0.543049275875092,0.0
1.0,10,65.0,2064.0,0.0,0.563206315040588,0.0
2.0,23,78.0,1982.0,0.0,0.511289894580841,0.0
3.0,12,67.0,1960.0,0.0,0.508525907993317,0.0
1.0,10,83.0,1908.0,0.0,0.480555206537247,0.0
2.0,10,83.0,1904.0,0.0,0.470059275627136,0.0
3.0,10,83.0,1899.0,0.0,0.442826330661774,0.0
1.0,10,72.0,1884.0,0.0,0.549343585968018,0.0
2.0,10,72.0,1874.0,0.0,0.53112918138504,0.0
3.0,6,68.0,1841.0,0.0,0.526670396327972,0.0
1.0,10,61.0,1834.0,0.0,0.56141597032547,0.0
1.0,10,75.0,1800.0,0.0,0.465973317623138,0.0
2.0,8,73.0,1759.0,0.0,0.447776645421982,0.0
1.0,10,62.0,1717.0,0.0,0.493539273738861,0.0
2.0,7,59.0,1711.0,0.0,0.481207102537155,0.0
1.0,10,49.0,1678.0,0.0,0.518860936164856,0.0
1.0,10,33.0,1637.0,0.0,0.573317468166351,0.0
2.0,10,33.0,1597.0,0.0,0.558028697967529,0.0
3.0,10,33.0,1591.0,0.0,0.51592493057251,0.0
1.0,10,75.0,1546.0,-3.0,0.440313041210175,-4638.0
2.0,10,75.0,1524.0,-3.0,0.421162128448486,-4572.0
3.0,10,75.0,1521.0,-3.0,0.387771427631378,-4563.0
1.0,10,79.0,1474.0,3.0,0.586796641349793,4422.0
2.0,1,70.0,1436.0,3.0,0.620309174060822,4308.0
1.0,10,64.0,1397.0,3.0,0.633374869823456,4191.0
2.0,7,61.0,1353.0,3.0,0.621838629245758,4059.0
3.0,6,60.0,1308.0,3.0,0.624118387699127,3924.0
1.0,10,36.0,1298.0,-3.0,0.546858191490173,-3894.0
2.0,1,27.0,1277.0,-3.0,0.585639595985413,-3831.0
3.0,5,31.0,1237.0,-3.0,0.506326496601105,-3711.0
1.0,10,75.0,1192.0,0.0,0.468776077032089,0.0
1.0,10,54.0,1151.0,0.0,0.503933250904083,0.0
2.0,11,55.0,1113.0,0.0,0.469992905855179,0.0
1.0,15,49.0,1049.0,0.0,0.512845039367676,0.0
1.0,10,61.0,1044.0,0.0,0.59254652261734,0.0
1.0,10,49.0,1005.0,0.0,0.607348024845123,0.0
2.0,8,47.0,978.0,0.0,0.583149015903473,0.0
1.0,10,37.0,955.0,0.0,0.658383309841156,0.0
1.0,10,25.0,912.0,0.0,0.675653398036957,0.0
1.0,4,4.0,900.0,0.0,0.71746027469635,0.0
2.0,3,3.0,858.0,0.0,0.718238413333893,0.0
1.0,10,75.0,852.0,-7.0,0.181436836719513,-5964.0
2.0,8,73.0,814.0,-7.0,0.151427686214447,-5698.0
3.0,1,66.0,789.0,-7.0,0.175136625766754,-5523.0
1.0,10,64.0,745.0,-7.0,0.191623613238335,-5215.0
2.0,10,64.0,739.0,-7.0,0.171261861920357,-5173.0
3.0,10,64.0,702.0,-7.0,0.158366918563843,-4914.0
1.0,20,75.0,631.0,7.0,0.865011632442474,4417.0
2.0,20,75.0,597.0,7.0,0.864216029644013,4179.0
3.0,22,77.0,551.0,7.0,0.854262232780457,3857.0
1.0,10,99.0,496.0,-7.0,0.114176258444786,-3472.0
2.0,10,99.0,490.0,-7.0,0.104753986001015,-3430.0
3.0,8,97.0,445.0,-7.0,0.096982978284359,-3115.0
1.0,10,56.0,429.0,7.0,0.912725806236267,3003.0
2.0,9,55.0,389.0,7.0,0.90710574388504,2723.0
1.0,10,44.0,347.0,7.0,0.925731122493744,2429.0
2.0,7,41.0,305.0,7.0,0.917168736457825,2135.0
1.0,7,7.0,297.0,7.0,0.951575934886932,2079.0
2.0,3,3.0,292.0,7.0,0.959797024726868,2044.0
1.0,10,75.0,288.0,-14.0,0.0221861302852631,-4032.0
2.0,10,75.0,283.0,-14.0,0.0164988338947296,-3962.0
3.0,10,75.0,274.0,-14.0,0.0147975962609053,-3836.0
1.0,10,78.0,227.0,14.0,0.998186886310577,3178.0
2.0,9,77.0,221.0,14.0,0.998211979866028,3094.0
3.0,6,74.0,216.0,14.0,0.998306632041931,3024.0
1.0,10,70.0,159.0,-14.0,0.0070311049930751,-2226.0
2.0,10,70.0,154.0,-14.0,0.0037560488563031,-2156.0
1.0,10,59.0,146.0,-14.0,0.0039394074119627,-2044.0
2.0,1,50.0,140.0,-14.0,0.0057092029601335,-1960.0
1.0,10,47.0,120.0,-14.0,0.0048805470578372,-1680.0
1.0,10,43.0,112.0,-14.0,0.0048805470578372,-1568.0
2.0,5,38.0,87.0,-14.0,0.0028235230129212,-1218.0
3.0,5,38.0,83.0,-14.0,0.0025907268282026,-1162.0
1.0,10,29.0,61.0,-14.0,0.0026608165353536,-854.0
2.0,20,39.0,52.0,-14.0,0.0021043068263679,-728.0
3.0,15,34.0,28.0,-14.0,0.0014131946954876,-392.0
4.0,15,34.0,22.0,-14.0,0.0010101093212142,-308.0
1.0,10,65.0,3595.0,0.0,0.448653161525726,0.0
2.0,10,65.0,3591.0,0.0,0.430587470531464,0.0
3.0,9,64.0,3551.0,0.0,0.404932260513306,0.0
1.0,10,52.0,3514.0,0.0,0.48011788725853,0.0
2.0,10,52.0,3510.0,0.0,0.461846560239792,0.0
3.0,5,47.0,3472.0,0.0,0.44330221414566,0.0
1.0,10,86.0,3425.0,0.0,0.603209018707275,0.0
2.0,7,83.0,3392.0,0.0,0.6029452085495,0.0
3.0,7,83.0,3386.0,0.0,0.57773894071579,0.0
1.0,10,71.0,3344.0,0.0,0.619233310222626,0.0
2.0,17,78.0,3301.0,0.0,0.596679866313934,0.0
3.0,11,72.0,3258.0,0.0,0.577415883541107,0.0
1.0,10,86.0,3210.0,0.0,0.414153099060059,0.0
2.0,7,83.0,3176.0,0.0,0.411310076713562,0.0
3.0,1,77.0,3133.0,0.0,0.41117200255394,0.0
1.0,10,59.0,3119.0,0.0,0.640445172786713,0.0
2.0,10,59.0,3084.0,0.0,0.625880420207977,0.0
1.0,10,49.0,3049.0,0.0,0.651580452919006,0.0
2.0,4,43.0,3013.0,0.0,0.645694673061371,0.0
