down,ydstogo,yardline_100,game_seconds_remaining,score_differential,qtr,went_for_it
4.0,4.0,71.0,3600.0,0.0,1.0,0
4.0,5.0,76.0,3487.0,0.0,1.0,0
4.0,15.0,72.0,3156.0,-7.0,1.0,0
4.0,5.0,13.0,2700.0,-21.0,2.0,0
4.0,7.0,8.0,2201.0,-18.0,2.0,0
4.0,9.0,58.0,2115.0,15.0,2.0,0
4.0,10.0,68.0,1903.0,-15.0,2.0,0
4.0,6.0,66.0,1867.0,15.0,2.0,0
4.0,8.0,8.0,1804.0,15.0,2.0,0
4.0,4.0,38.0,1800.0,-18.0,3.0,1
4.0,2.0,40.0,1442.0,12.0,3.0,0
4.0,3.0,14.0,900.0,-12.0,4.0,0
4.0,12.0,69.0,893.0,9.0,4.0,0
4.0,6.0,59.0,823.0,-9.0,4.0,0
4.0,4.0,39.0,765.0,9.0,4.0,0
4.0,19.0,89.0,567.0,-9.0,4.0,0
4.0,6.0,41.0,483.0,9.0,4.0,0
4.0,13.0,13.0,4.0,-2.0,4.0,0
4.0,13.0,71.0,3586.0,0.0,1.0,0
4.0,16.0,50.0,3533.0,0.0,1.0,0
4.0,1.0,71.0,3200.0,0.0,1.0,0
4.0,5.0,18.0,2700.0,-7.0,2.0,0
4.0,3.0,61.0,2615.0,4.0,2.0,0
4.0,10.0,62.0,1981.0,-11.0,2.0,0
4.0,7.0,49.0,1918.0,11.0,2.0,0
4.0,8.0,11.0,1821.0,-11.0,2.0,0
4.0,8.0,28.0,1800.0,8.0,3.0,0
4.0,7.0,18.0,900.0,7.0,4.0,0
4.0,23.0,75.0,758.0,-10.0,4.0,0
4.0,16.0,39.0,629.0,-10.0,4.0,0
4.0,4.0,56.0,3588.0,-7.0,1.0,0
4.0,9.0,77.0,3527.0,7.0,1.0,0
4.0,10.0,69.0,3385.0,-7.0,1.0,0
4.0,1.0,67.0,3318.0,7.0,1.0,0
4.0,11.0,65.0,3139.0,7.0,1.0,0
4.0,15.0,82.0,3068.0,-7.0,1.0,0
4.0,4.0,53.0,2950.0,7.0,1.0,0
4.0,9.0,79.0,2871.0,-7.0,1.0,0
4.0,5.0,28.0,2700.0,7.0,2.0,0
4.0,3.0,66.0,2362.0,3.0,2.0,0
4.0,22.0,70.0,2266.0,-3.0,2.0,0
4.0,3.0,86.0,1945.0,3.0,2.0,0
4.0,10.0,34.0,1904.0,-3.0,2.0,0
4.0,23.0,57.0,1814.0,0.0,2.0,0
4.0,4.0,41.0,1800.0,0.0,3.0,0
4.0,3.0,3.0,1388.0,0.0,3.0,0
4.0,7.0,68.0,1274.0,-3.0,3.0,0
4.0,7.0,55.0,1154.0,-9.0,3.0,0
4.0,16.0,61.0,885.0,9.0,4.0,0
4.0,14.0,81.0,727.0,-9.0,4.0,0
4.0,20.0,60.0,434.0,9.0,4.0,0
4.0,16.0,35.0,422.0,-9.0,4.0,0
4.0,11.0,88.0,2700.0,-7.0,2.0,0
4.0,5.0,32.0,2647.0,9.0,2.0,0
4.0,2.0,67.0,1537.0,-3.0,3.0,0
4.0,17.0,87.0,1435.0,3.0,3.0,0
4.0,1.0,49.0,1201.0,3.0,3.0,0
4.0,6.0,46.0,1061.0,-3.0,3.0,0
4.0,4.0,15.0,900.0,3.0,4.0,0
